shap_TransactionAmt,shap_amt_log,shap_amt_rounded,shap_amt_cents_99,shap_hour,shap_day_of_week,shap_is_night,shap_is_weekend,shap_card4_enc,shap_card6_enc,shap_card1,shap_card2,shap_card3,shap_card5,shap_product_enc,shap_p_email_isna,shap_r_email_isna,shap_email_match,shap_p_email_risky,shap_has_identity,shap_identity_count,shap_is_mobile,shap_C1,shap_C2,shap_C3,shap_C4,shap_C5,shap_C6,shap_C7,shap_C8,shap_C9,shap_C10,shap_D1,shap_D2,shap_D3,shap_D4,shap_V1,shap_V2,shap_V3,shap_V4,shap_V5,shap_V12,shap_V13,shap_V14,shap_V15,TransactionID,isFraud,fraud_probability,TransactionAmt,ProductCD
0.6560396,-0.044334378,0.038213607,0.004366149,-0.14649609,-0.37905505,0.091821216,0.04875242,-0.16614297,-0.26701388,0.021116864,0.14482187,-0.19190067,0.0042375997,0.03158593,0.010534295,-0.014490287,-0.0068724193,0.0010641804,0.043642383,-0.23020184,-0.05702589,-0.18349598,-0.26955348,0.0040922654,-0.033408176,0.22012447,-0.13973054,-0.018522507,-0.10093141,-0.00012713176,-0.003315664,-0.05957346,-0.032059852,-0.003922797,-0.39805067,-0.001176565,0.009221525,-0.0055761235,-0.005240149,-0.0019683666,0.01888139,-0.003033047,0.0017251892,-0.009390841,3457624,0,0.022731932,724.0,W
-0.12392932,-0.009695762,-0.032624416,0.004439928,-0.06885654,0.84684646,0.121015415,-1.2736831,0.011731441,-0.16297913,0.040706642,0.08726776,-0.11792509,0.001658981,0.028693883,0.011704481,-0.013525603,-0.0016244983,-0.0014835164,0.042756237,-0.13648978,-0.021200804,-0.26758417,-0.22473165,0.004186373,-0.008149424,0.15582225,-0.14542152,-0.010002171,-0.031153725,-0.061443944,0.015615178,-0.14349216,-0.06868642,-0.019146767,-0.41528937,2.9580551e-06,0.0064817034,-0.008821098,-0.008767977,-0.00096519146,-0.10757257,-0.048019975,0.00039751182,-0.011468692,3552820,0,0.010943261,108.5,W
-0.54826546,0.3356855,-0.041234486,0.005145945,-0.08560048,-0.088710725,0.113697566,0.0882415,-0.19058147,-0.21020083,0.16297208,-0.026880737,-0.09954508,-0.026359316,0.039277215,0.009312082,-0.012228418,0.0038488763,-0.0025328686,0.043011997,-0.13265593,-0.0118980175,-0.1391081,-0.17884076,0.0042931493,-0.018260237,-0.84943616,-0.18358904,0.0014479468,-0.10154408,-0.05685756,0.010592336,0.07709403,0.01025118,-0.62291956,0.062452182,0.0022411146,0.007138348,-0.0054939794,-0.0012716345,-0.0026150108,0.028038634,-0.012075718,0.0029730655,-0.011156691,3271083,0,0.0067545,47.95,W
-0.06428859,0.024928043,-0.008998726,0.005973028,-0.10049919,-0.04056152,0.12165178,0.08252259,0.03340313,-0.27619684,-0.2422427,0.07939199,0.37276658,-0.048298277,-0.0042642495,0.01037587,0.062254187,0.012186007,-0.0017191607,0.09153055,-0.45075977,-0.021080388,-0.27563527,0.05608938,0.004220506,0.003336899,0.15310498,-0.13902026,0.019844254,-0.040999126,-0.045744803,-0.01363942,-0.019750772,0.062966436,0.11927947,0.121319614,0.00032308768,0.00829712,-0.0045281835,-0.0030830214,-0.0013560432,-0.057522155,-0.019036457,0.0022010787,0.0037013507,3226689,0,0.059179366,100.599,C
-0.12108493,-0.007259384,-0.027556151,0.0025080973,-0.09083899,-0.07515664,0.12227408,0.09912089,0.032079168,-0.09552467,-0.47265646,0.12779112,-0.14547634,0.0054779425,0.022888914,0.0105282245,-0.010673179,0.0002614137,-0.010906682,0.04352054,-0.15473182,-0.012845228,0.20415005,0.2022532,0.0038683675,-0.010029829,-1.2642474,-0.019225374,-0.00021064469,-0.09620669,0.23703732,1.7568353e-05,-0.009489153,-0.4869707,-0.582884,-0.15682398,0.002544584,0.0058672237,-0.012066432,-0.0016360264,-0.0004464922,-0.12825616,-0.024981443,0.0029501854,-0.014052417,3268855,0,0.005242384,107.95,W
0.43660378,-0.055898756,0.0459067,0.0022651865,-0.1786296,-0.14344849,0.07839592,0.06684364,-0.13125098,-0.25767407,-0.07301266,-0.15978764,-0.16410355,-0.14927314,0.0044262093,0.0120833935,-0.014205795,-0.0036537524,-0.0014573954,0.04375148,-0.4067368,-0.048419327,0.09298984,0.35305732,0.0041036075,-0.051784717,0.32117558,-0.11372841,-0.005589105,-0.13739723,0.13107651,0.0018172441,-0.07303557,0.030996738,0.056990616,-0.53878146,3.904628e-06,0.003770852,-0.008784695,-0.005561439,-0.0019770788,-0.073101275,-0.026290508,0.0008758396,-0.012075317,3400908,0,0.029680155,280.0,W
0.4136939,-0.07659763,-0.03414459,0.0024970681,-0.12517364,-0.1469987,0.106290296,0.06747932,0.055527754,-0.11460907,0.052728195,0.09074023,-0.1621653,0.01675899,0.003917574,0.008016929,-0.011542799,0.003187783,-0.02248238,0.039368458,-0.14989688,-0.026339427,0.22713801,-0.019266827,0.0039708433,-0.007167361,-0.7224983,-0.63790613,-0.003301154,-0.14998688,0.5308743,0.0012052794,-0.0765462,-0.4336661,-0.53346854,-0.4283706,-0.0051887855,0.005116192,-0.014631631,0.21839435,0.0046688686,0.026939588,-0.029764233,0.006968557,-0.007250622,3400692,0,0.01222345,311.95,W
0.4601337,-0.050264932,-0.010210754,-0.6351313,-0.1619801,-0.21711954,0.05001619,0.07274729,0.032601174,0.28828862,0.00853245,-0.1899297,-0.18067959,0.004914983,0.07403405,0.009215426,-0.017371092,-0.008695092,-0.0126581425,0.039084684,-0.18039492,-0.06518786,-0.23063916,-0.30155143,0.0039530843,-0.028188173,0.24974182,-0.116903596,-0.032334417,-0.068751566,-0.060030106,0.00377858,0.016660128,-0.001398566,0.025068069,0.15981065,0.00051149423,0.0056839185,-0.009268472,-0.0021551074,0.00022765489,-0.059507012,-0.02881869,0.0014294701,-0.010861418,3461182,0,0.028966518,330.99,W
-0.74331784,0.57945985,-0.013330373,0.0054235007,-0.16410783,-0.121015765,0.074938744,0.0750964,0.0019167053,-0.13231494,0.30328828,0.09212937,0.6401543,0.009248649,-0.00011155722,0.006197132,0.043279532,0.0094216615,0.0016573516,-0.006629948,0.17821229,-0.03254535,0.058131956,0.16271421,0.0044450257,0.060818546,0.13374123,-0.05792731,0.08915597,0.71687084,-0.02111835,-0.066775925,-0.058329176,0.070872985,0.014794147,0.13638522,-0.0014928546,0.0053654583,-0.0060866773,-0.002419682,-0.0005644759,-0.028924938,-0.014511492,0.0039475956,0.031814314,3357788,1,0.42539504,10.392,C
0.38399348,-0.09259374,0.0410455,0.005449605,-0.1549921,-0.18867578,0.0871654,0.07049211,0.02406994,-0.20899177,0.005512321,-0.04872709,-0.074124984,0.021688137,0.016508982,0.010718132,-0.012289599,0.0071213874,-0.00029913426,0.041790638,-0.11080852,-0.035601225,-0.16515279,-0.034465093,0.004147424,-0.006720771,0.27104762,0.3450982,-0.0006671742,-0.04802734,0.20019743,0.0033625448,0.03108437,-0.017701302,0.25542262,0.2543087,-0.0032608858,0.0016390667,-0.013773989,-0.004889987,-0.0013943352,-0.0018570469,-0.003624138,0.0010078534,-0.007754081,3015757,0,0.18360023,335.0,W
